Municipio;tipo_geografia
Medellín;Urbano
Bello;Urbano
Bogotá, D.C.;Urbano
Rionegro;Urbano
Sabaneta;Urbano
Itagüí;Urbano
Santa Rosa De Cabal;Urbano
Pereira;Urbano
Copacabana;Urbano
Buenaventura;Urbano
La Ceja;Urbano
Calarcá;Urbano
Envigado;Urbano
Barranquilla;Urbano
Cartagena De Indias;Urbano
Soacha;Urbano
Funza;Urbano
Soledad;Urbano
Dosquebradas;Urbano
Turbo;Urbano
Apartadó;Urbano
Bucaramanga;Urbano
Montería;Urbano
Manizales;Urbano
Villavicencio;Urbano
Armenia;Urbano
Cali;Urbano
Quibdó;Urbano
Pasto;Urbano
Cúcuta;Urbano
Florencia;Urbano
Riohacha;Urbano
Santa Marta;Urbano
Sincelejo;Urbano
Tunja;Urbano
Yopal;Urbano
Valledupar;Urbano
Ibagué;Urbano
Neiva;Urbano
Sogamoso;Urbano
Villamaría;Urbano
Santa Rosa De Osos;Urbano
Girardot;Urbano
Girón;Urbano
Chía;Urbano
Zipaquirá;Urbano
Villanueva;Urbano
San José Del Guaviare;Urbano
Puerto Asís;Urbano
Popayán;Urbano
El Carmen De Viboral;rural
Segovia;rural
San Luis;rural
San Juan De Urabá;rural
Andes;rural
Belmira;rural
La Dorada;rural
Campamento;rural
Remedios;rural
El Santuario;rural
Entrerríos;rural
El Bagre;rural
Santa Fé De Antioquia;rural
Puerto Triunfo;rural
Amalfi;rural
Salgar;rural
Anzá;rural
Anorí;rural
Girardota;rural
Marinilla;rural
Angostura;rural
Mosquera;rural
Guarne;rural
La Unión;rural
Yolombó;rural
Retiro;rural
Donmatías;rural
Ituango;rural
Guadalupe;rural
Caldas;rural
Angelópolis;rural
Urrao;rural
Támesis;rural
Puerto Boyacá;rural
Jericó;rural
Carepa;rural
Betulia;rural
La Estrella;rural
San Roque;rural
San Jerónimo;rural
Barbosa;rural
Abejorral;rural
Altamira;rural
Briceño;rural
Tarazá;rural
Peñol;rural
Sopetrán;rural
Concordia;rural
Sonsón;rural
Liborina;rural
Granada;rural
Sabanalarga;rural
Heliconia;rural
Jardín;rural
Argelia;rural
La Tebaida;rural
Caicedo;rural
Ebéjico;rural
Titiribí;rural
San Francisco;rural
Montebello;rural
San Carlos;rural
Yarumal;rural
Caucasia;rural
Concepción;rural
El Castillo;rural
